player_id,first_name,last_name,position,jersey_number,team_id,team_abbr,roster_status,injury_description,playing_probability,last_updated_on
168247,Johnny,Walker Jr.,LB,,,,UNASSIGNED,undisclosed,OUT,2025-09-15T12:40:02.401Z
6133,Darren,Waller,TE,83,49,MIA,ROSTER,undisclosed,OUT,2025-09-15T12:40:02.401Z
166750,Justin,Walley,CB,27,65,IND,INJURY_LIST,knee,OUT,2025-09-15T12:40:02.401Z
8457,Jimmie,Ward,FS,20,,,UFA,foot,QUESTIONABLE,2025-09-15T12:40:02.401Z
15148,Charvarius,Ward,CB,7,65,IND,ROSTER,concussion,OUT,2025-09-15T12:40:02.401Z
14495,Denzel,Ward,CB,21,58,CLE,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
30220,Ar'Darius,Washington,DB,29,56,BAL,ROSTER,achilles,OUT,2025-09-15T12:40:02.401Z
168250,Savion,Washington,T,67,,,ROSTER,undisclosed,OUT,2025-09-15T12:40:02.401Z
134077,Tahj,Washington,WR,7,49,MIA,ROSTER,undisclosed,QUESTIONABLE,2025-09-15T12:40:02.401Z
112239,Carlos,Washington Jr.,RB,26,68,ATL,ROSTER,concussion,QUESTIONABLE,2025-09-15T12:40:02.401Z
166799,Jordan,Watkins,WR,17,78,SF,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
13027,Deshaun,Watson,QB,4,,,UFA,achilles,OUT,2025-09-15T12:40:02.401Z
39108,Christian,Watson,WR,9,62,GB,ROSTER,knee,OUT,2025-09-15T12:40:02.401Z
134042,Nathaniel,Watson,LB,40,,,UFA,bicep,OUT,2025-09-15T12:40:02.401Z
8819,Tress,Way,P,10,55,WAS,ROSTER,back,QUESTIONABLE,2025-09-15T12:40:02.401Z
30611,Rashad,Weaver,DE,99,,,ROSTER,undisclosed,OUT,2025-09-15T12:40:02.401Z
112238,Barry,Wesley,OT,69,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
166779,CJ,West,DT,99,78,SF,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
167686,Ja'Markis,Weston,DE,54,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
22481,Tershawn,Wharton,DE,99,69,CAR,ROSTER,head,OUT,2025-09-15T12:40:02.401Z
30627,Tyrone,Wheatley Jr.,T,74,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
12790,Tre'Davious,White,CB,27,48,BUF,ROSTER,groin,QUESTIONABLE,2025-09-15T12:40:02.401Z
79784,Keion,White,DE,99,50,NE,ROSTER,illness,OUT,2025-09-15T12:40:02.401Z
112291,Blake,Whiteheart,TE,86,58,CLE,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
133966,Jared,Wiley,TE,12,73,KC,ROSTER,hamstring,QUESTIONABLE,2025-09-15T12:40:02.401Z
16781,Quincy,Williams,LB,56,51,NYJ,ROSTER,calf,QUESTIONABLE,2025-09-15T12:40:02.401Z
8775,Trent,Williams,T,71,78,SF,ROSTER,knee,OUT,2025-09-15T12:40:02.401Z
166915,Cameron,Williams,OT,73,54,PHI,INJURY_LIST,shoulder,OUT,2025-09-15T12:40:02.401Z
166863,John,Williams,OT,,,,ROSTER,back,OUT,2025-09-15T12:40:02.401Z
16874,Jonah,Williams,OT,73,76,ARI,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
167959,Elijah,Williams,DE,99,63,MIN,ROSTER,hamstring,QUESTIONABLE,2025-09-15T12:40:02.401Z
